id,sub,name,gender,place,level,days,exercises,supersets
1495,Def Extrema,DEF.EXTREMA-CHICOS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,male,home_with_material,beginner,3,15,0
1494,Def Extrema,DEF.EXTREMA-CHICOS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-4 DÍAS,male,home_with_material,beginner,4,20,0
1493,Def Extrema,DEF.EXTREMA-CHICOS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-5 DÍAS,male,home_with_material,beginner,5,25,0
1492,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-AVANZADO-2 DÍAS,male,home,advanced,2,12,2
1491,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-AVANZADO-3 DÍAS,male,home,advanced,3,18,3
1490,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-AVANZADO-4 DÍAS,male,home,advanced,4,24,4
1489,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-AVANZADO-5 DÍAS,male,home,advanced,5,30,5
1488,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-2 DÍAS,male,home,beginner,2,10,0
1487,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,male,home,beginner,3,15,0
1486,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-4 DÍAS,male,home,beginner,4,20,0
1485,Def Extrema,DEF.EXTREMA-CHICOS-SOLO GOMAS-MES 1-PRINCIPIANTE-5 DÍAS,male,home,beginner,5,25,0
1504,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-AVANZADO-2 DÍAS,female,gym,advanced,2,11,0
1503,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-AVANZADO-3 DÍAS,female,gym,advanced,3,16,1
1502,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-AVANZADO-4 DÍAS,female,gym,advanced,4,20,0
1501,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-AVANZADO-5 DÍAS,female,gym,advanced,5,25,0
1508,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-PRINCIPIANTE-2 DÍAS,female,gym,beginner,2,10,0
1507,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-PRINCIPIANTE-3 DÍAS,female,gym,beginner,3,15,0
1506,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-PRINCIPIANTE-4 DÍAS,female,gym,beginner,4,20,0
1505,Ganancia,GANANCIA MUSCULAR-CHICAS-GYM-MES 1-PRINCIPIANTE-5 DÍAS,female,gym,beginner,5,25,0
1540,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-2 DÍAS,female,home_with_material,advanced,2,11,0
1539,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-3 DÍAS,female,home_with_material,advanced,3,16,1
1538,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-4 DÍAS,female,home_with_material,advanced,4,20,0
1537,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-5 DÍAS,female,home_with_material,advanced,5,25,0
1536,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-2 DÍAS,female,home_with_material,beginner,2,10,0
1535,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,female,home_with_material,beginner,3,15,0
1534,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-4 DÍAS,female,home_with_material,beginner,4,20,0
1533,Ganancia,GANANCIA MUSCULAR-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-5 DÍAS,female,home_with_material,beginner,5,25,0
1520,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-AVANZADO-2 DÍAS,female,home,advanced,2,11,0
1519,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-AVANZADO-3 DÍAS,female,home,advanced,3,16,1
1518,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-AVANZADO-4 DÍAS,female,home,advanced,4,20,0
1517,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-AVANZADO-5 DÍAS,female,home,advanced,5,25,0
1524,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-PRINCIPIANTE-2 DÍAS,female,home,beginner,2,10,0
1523,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,female,home,beginner,3,15,0
1522,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-PRINCIPIANTE-4 DÍAS,female,home,beginner,4,20,0
1521,Ganancia,GANANCIA MUSCULAR-CHICAS-SOLO GOMAS-MES 1-PRINCIPIANTE-5 DÍAS,female,home,beginner,5,25,0
1456,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-AVANZADO-2 DÍAS,male,gym,advanced,2,10,0
1455,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-AVANZADO-3 DÍAS,male,gym,advanced,3,15,0
1454,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-AVANZADO-4 DÍAS,male,gym,advanced,4,22,0
1453,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-AVANZADO-5 DÍAS,male,gym,advanced,5,25,0
1460,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-PRINCIPIANTE-2 DÍAS,male,gym,beginner,2,10,0
1459,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-PRINCIPIANTE-3 DÍAS,male,gym,beginner,3,15,0
1458,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-PRINCIPIANTE-4 DÍAS,male,gym,beginner,4,20,0
1457,Ganancia,GANANCIA MUSCULAR-CHICOS-GYM-MES 1-PRINCIPIANTE-5 DÍAS,male,gym,beginner,5,25,0
1480,Ganancia,GANANCIA MUSCULAR-CHICOS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-2 DÍAS,male,home_with_material,advanced,2,10,0
