id,name,zone,gender,objective_id,sub_objective_id,training_location,days_per_week,experience_level,created_at,updated_at
1006,RECOMPOSICION-CHICOS-GIMNASIO-WEIDER-MES 1-PRINCIPIANTE-4 DIAS,consultancy,male,1,9,gym,4,beginner,2026-06-09T08:52:06.016862Z,2026-06-09T08:52:06.016862Z
1007,RECOMPOSICION-CHICOS-GIMNASIO-WEIDER-MES 1-PRINCIPIANTE-3 DIAS,consultancy,male,1,9,gym,3,beginner,2026-06-09T08:52:06.786170Z,2026-06-09T08:52:06.786170Z
1008,RECOMPOSICION-CHICOS-GIMNASIO-WEIDER-MES 1-PRINCIPIANTE-2 DIAS,consultancy,male,1,9,gym,2,beginner,2026-06-09T08:52:07.438135Z,2026-06-09T08:52:07.438135Z
1009,RECOMPOSICION-CHICOS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,consultancy,male,1,9,gym,5,beginner,2026-06-09T08:52:08.131240Z,2026-06-09T08:52:08.131240Z
1010,RECOMPOSICION-CHICOS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,consultancy,male,1,9,gym,4,beginner,2026-06-09T08:52:09.157728Z,2026-06-09T08:52:09.157728Z
1011,RECOMPOSICION-CHICOS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS,consultancy,male,1,9,gym,3,beginner,2026-06-09T08:52:09.999680Z,2026-06-09T08:52:09.999680Z
1012,RECOMPOSICION-CHICOS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-2 DIAS,consultancy,male,1,9,gym,2,beginner,2026-06-09T08:52:10.742258Z,2026-06-09T08:52:10.742258Z
1013,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,consultancy,female,1,9,gym,5,advanced,2026-06-09T08:52:11.253907Z,2026-06-09T08:52:11.253907Z
1014,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,consultancy,female,1,9,gym,4,advanced,2026-06-09T08:52:12.234120Z,2026-06-09T08:52:12.234120Z
1015,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,consultancy,female,1,9,gym,3,advanced,2026-06-09T08:52:13.145891Z,2026-06-09T08:52:13.145891Z
1016,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS,consultancy,female,1,9,gym,2,advanced,2026-06-09T08:52:14.248216Z,2026-06-09T08:52:14.248216Z
1017,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-5 DIAS,consultancy,female,1,9,gym,5,advanced,2026-06-09T08:52:14.918784Z,2026-06-09T08:52:14.918784Z
1018,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-4 DIAS,consultancy,female,1,9,gym,4,advanced,2026-06-09T08:52:15.794839Z,2026-06-09T08:52:15.794839Z
1019,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-3 DIAS,consultancy,female,1,9,gym,3,advanced,2026-06-09T08:52:16.507710Z,2026-06-09T08:52:16.507710Z
1020,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-2 DIAS,consultancy,female,1,9,gym,2,advanced,2026-06-09T08:52:17.109709Z,2026-06-09T08:52:17.109709Z
1021,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,consultancy,female,1,9,gym,5,advanced,2026-06-09T08:52:17.627642Z,2026-06-09T08:52:17.627642Z
1022,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,consultancy,female,1,9,gym,4,advanced,2026-06-09T08:52:18.600531Z,2026-06-09T08:52:18.600531Z
1023,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,consultancy,female,1,9,gym,3,advanced,2026-06-09T08:52:19.434154Z,2026-06-09T08:52:19.434154Z
1024,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS,consultancy,female,1,9,gym,2,advanced,2026-06-09T08:52:20.209484Z,2026-06-09T08:52:20.209484Z
1025,RECOMPOSICION-CHICOS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS,consultancy,male,1,9,gym,3,advanced,2026-06-09T08:52:20.784315Z,2026-06-09T08:52:20.784315Z
