routine_id,routine_name,day_order,day_name,superset_id,n_miembros,posicion_actual,posicion_esperada,correcta,posiciones_miembros,posiciones_sueltos
1028,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,2,Espalda-Bíceps-Posterior,1115,2,0,5,NO,5 6,1 2 3 4
1028,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,3,Pierna,1116,2,0,5,NO,5 6,1 2 3 4
1028,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,4,Fullbody Torso,1117,2,0,5,NO,5 6,1 2 3 4
1027,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,1,Hombro-Pecho-Tríceps,1109,2,5,5,SI,5 6,1 2 3 4
1027,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,2,Espalda-Bíceps-Posterior,1110,2,5,1,NO,1 2,1 2 3 4
1027,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,3,Pierna,1111,2,5,5,SI,5 6,1 2 3 4
1027,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,4,Hombro-Pecho-Tríceps,1112,2,5,5,SI,5 6,1 2 3 4
1027,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,5,Espalda-Bíceps-Posterior,1113,2,5,5,SI,5 6,1 2 3 4
1165,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-2 DIAS,1,Fullbody Empujes,1563,2,0,2,NO,2 3,1 4 5 6
1165,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-2 DIAS,2,Fullbody Tracciones,1564,2,0,2,NO,2 3,1 4 5 6
